2017-09-06T19:14:03.798Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,50415,{"ONSince":"1504725225","OnFor":"17","TodayONTime":"3574","TodayConsumed":"18598980"}
2017-09-06T19:14:04.329Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:04.858Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2750,{"ONSince":"1504706176","OnFor":"19068","TodayONTime":"20175","TodayConsumed":"75419854"}
2017-09-06T19:14:04.902Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:14:05.845Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:06.367Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2755,{"ONSince":"1504706176","OnFor":"19069","TodayONTime":"20176","TodayConsumed":"75419854"}
2017-09-06T19:14:06.385Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,49985,{"ONSince":"1504725225","OnFor":"20","TodayONTime":"3577","TodayConsumed":"18598980"}
2017-09-06T19:14:07.424Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:14:07.963Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,122750,{"ONSince":"1504725225","OnFor":"21","TodayONTime":"3578","TodayConsumed":"18598980"}
2017-09-06T19:14:08.449Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:08.855Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2715,{"ONSince":"1504706176","OnFor":"19072","TodayONTime":"20179","TodayConsumed":"75419854"}
2017-09-06T19:14:09.898Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:10.121Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:14:10.341Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,74715,{"ONSince":"1504725225","OnFor":"24","TodayONTime":"3581","TodayConsumed":"18598980"}
2017-09-06T19:14:10.354Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2705,{"ONSince":"1504706176","OnFor":"19073","TodayONTime":"20180","TodayConsumed":"75419854"}
2017-09-06T19:14:11.524Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:14:13.566Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,47935,{"ONSince":"1504725225","OnFor":"25","TodayONTime":"3582","TodayConsumed":"18598980"}
2017-09-06T19:14:13.568Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:13.579Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2740,{"ONSince":"1504706176","OnFor":"19076","TodayONTime":"20183","TodayConsumed":"75419854"}
2017-09-06T19:14:13.900Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:13.953Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:14:14.398Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2740,{"ONSince":"1504706176","OnFor":"19077","TodayONTime":"20184","TodayConsumed":"75419854"}
2017-09-06T19:14:15.984Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:14:16.001Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,10345,{"ONSince":"1504725225","OnFor":"30","TodayONTime":"3587","TodayConsumed":"18598980"}
2017-09-06T19:14:17.011Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2750,{"ONSince":"1504706176","OnFor":"19080","TodayONTime":"20187","TodayConsumed":"75419854"}
2017-09-06T19:14:17.018Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,7955,{"ONSince":"1504725225","OnFor":"31","TodayONTime":"3588","TodayConsumed":"18598980"}
2017-09-06T19:14:17.060Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:17.922Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:14:17.967Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
